<b>Transliteration: </b>it\𒀉
<b>Transliteration: </b>it,\𒀉
<b>Transliteration: </b>te8\𒀉
𒀊\<b>Transliteration: </b>ab
𒀊\<b>Transliteration: </b>aba
𒀊\<b>Transliteration: </b>ap
𒀊\<b>Transliteration: </b>esz3
𒀊\<b>Transliteration: </b>iri12
𒀊\<b>Transliteration: </b>is3
<b>Transliteration: </b>ab\𒀊
<b>Transliteration: </b>aba\𒀊
<b>Transliteration: </b>ap\𒀊
<b>Transliteration: </b>esz3\𒀊
<b>Transliteration: </b>iri12\𒀊
<b>Transliteration: </b>is3\𒀊
𒀍\<b>Transliteration: </b>irigal
𒀍\<b>Transliteration: </b>urugal
<b>Transliteration: </b>irigal\𒀍
<b>Transliteration: </b>urugal\𒀍
𒀏\<b>Transliteration: </b>agarinx
𒀏\<b>Transliteration: </b>nansze
𒀏\<b>Transliteration: </b>nigin6
𒀏\<b>Transliteration: </b>nina
𒀏\<b>Transliteration: </b>sirara
<b>Transliteration: </b>agarinx\𒀏
<b>Transliteration: </b>nansze\𒀏
<b>Transliteration: </b>nigin6\𒀏
<b>Transliteration: </b>nina\𒀏
<b>Transliteration: </b>sirara\𒀏
𒀕\<b>Transliteration: </b>unug
<b>Transliteration: </b>unug\𒀕
𒀖\<b>Transliteration: </b>a2b2
𒀖\<b>Transliteration: </b>ab2
<b>Transliteration: </b>a2b2\𒀖
<b>Transliteration: </b>ab2\𒀖
𒀗\<b>Transliteration: </b>liliz
<b>Transliteration: </b>liliz\𒀗
𒀙\<b>Transliteration: </b>meze
<b>Transliteration: </b>meze\𒀙
𒀚\<b>Transliteration: </b>libisz
𒀚\<b>Transliteration: </b>lipisz
𒀚\<b>Transliteration: </b>szem3
𒀚\<b>Transliteration: </b>ub3
<b>Transliteration: </b>libisz\𒀚
<b>Transliteration: </b>lipisz\𒀚
<b>Transliteration: </b>szem3\𒀚
<b>Transliteration: </b>ub3\𒀚
𒀜\<b>Transliteration: </b>ad
𒀜\<b>Transliteration: </b>at
𒀜\<b>Transliteration: </b>at,
𒀜\<b>Transliteration: </b>gir4
𒀜\<b>Transliteration: </b>𒀜
𒀜\<b>Transliteration: </b>𒊭
𒀜\<b>Transliteration: </b>𒌅
<b>Transliteration: </b>ad\𒀜
<b>Transliteration: </b>at\𒀜
<b>Transliteration: </b>at,\𒀜
<b>Transliteration: </b>gir4\𒀜
<b>Transliteration: </b>𒀜\𒀜
<b>Transliteration: </b>𒊭\𒀜
<b>Transliteration: </b>𒌅\𒀜
𒀝\<b>Transliteration: </b>ag
𒀝\<b>Transliteration: </b>ak
𒀝\<b>Transliteration: </b>aq
𒀝\<b>Transliteration: </b>na
𒀝\<b>Transliteration: </b>sza5
<b>Transliteration: </b>ag\𒀝
<b>Transliteration: </b>ak\𒀝
<b>Transliteration: </b>aq\𒀝
<b>Transliteration: </b>na\𒀝
<b>Transliteration: </b>sza5\𒀝
𒀞\<b>Transliteration: </b>me
𒀞\<b>Transliteration: </b>me3
<b>Transliteration: </b>me\𒀞
<b>Transliteration: </b>me3\𒀞
𒀠\<b>Transliteration: </b>al
<b>Transliteration: </b>al\𒀠
𒀩\<b>Transliteration: </b>alam
𒀩\<b>Transliteration: </b>alan
<b>Transliteration: </b>alam\𒀩
<b>Transliteration: </b>alan\𒀩
𒀪\<b>Transliteration: </b>a'
𒀪\<b>Transliteration: </b>ah
𒀪\<b>Transliteration: </b>eh
𒀪\<b>Transliteration: </b>ih
𒀪\<b>Transliteration: </b>uh
<b>Transliteration: </b>a'\𒀪
<b>Transliteration: </b>ah\𒀪
<b>Transliteration: </b>eh\𒀪
<b>Transliteration: </b>ih\𒀪
<b>Transliteration: </b>uh\𒀪
𒀫\<b>Transliteration: </b>amar
𒀫\<b>Transliteration: </b>mar2
𒀫\<b>Transliteration: </b>s,ur
𒀫\<b>Transliteration: </b>zur
<b>Transliteration: </b>amar\𒀫
<b>Transliteration: </b>mar2\𒀫
<b>Transliteration: </b>s,ur\𒀫
<b>Transliteration: </b>zur\𒀫
𒀬\<b>Transliteration: </b>siskur
𒀬\<b>Transliteration: </b>sizkur
<b>Transliteration: </b>siskur\𒀬
<b>Transliteration: </b>sizkur\𒀬
𒀭\<b>Transliteration: </b>am6
𒀭\<b>Transliteration: </b>an
𒀭\<b>Transliteration: </b>digir
𒀭\<b>Transliteration: </b>dingir
𒀭\<b>Transliteration: </b>e2n2
𒀭\<b>Transliteration: </b>i3l3
𒀭\<b>Transliteration: </b>il3
𒀭\<b>Transliteration: </b>ku2nga2
𒀭\<b>Transliteration: </b>naggax
<b>Transliteration: </b>am6\𒀭
<b>Transliteration: </b>an\𒀭
<b>Transliteration: </b>digir\𒀭
<b>Transliteration: </b>dingir\𒀭
<b>Transliteration: </b>e2n2\𒀭
<b>Transliteration: </b>i3l3\𒀭
<b>Transliteration: </b>il3\𒀭
<b>Transliteration: </b>ku2nga2\𒀭
<b>Transliteration: </b>naggax\𒀭
𒀮\<b>Transliteration: </b>nab
𒀮\<b>Transliteration: </b>nap
<b>Transliteration: </b>nab\𒀮
<b>Transliteration: </b>nap\𒀮
𒀯\<b>Transliteration: </b>kunga
𒀯\<b>Transliteration: </b>mul
<b>Transliteration: </b>kunga\𒀯
<b>Transliteration: </b>mul\𒀯
𒀲\<b>Transliteration: </b>ansze
<b>Transliteration: </b>ansze\𒀲
𒀳\<b>Transliteration: </b>absin3
𒀳\<b>Transliteration: </b>apin
𒀳\<b>Transliteration: </b>engar
𒀳\<b>Transliteration: </b>ur11
𒀳\<b>Transliteration: </b>usz8
<b>Transliteration: </b>absin3\𒀳
<b>Transliteration: </b>apin\𒀳
<b>Transliteration: </b>engar\𒀳
<b>Transliteration: </b>ur11\𒀳
<b>Transliteration: </b>usz8\𒀳
𒀴\<b>Transliteration: </b>arad
𒀴\<b>Transliteration: </b>er3
𒀴\<b>Transliteration: </b>nitah2
<b>Transliteration: </b>arad\𒀴
<b>Transliteration: </b>er3\𒀴
<b>Transliteration: </b>nitah2\𒀴
𒀵\<b>Transliteration: </b>a2rad2
𒀵\<b>Transliteration: </b>arad2
<b>Transliteration: </b>a2rad2\𒀵
<b>Transliteration: </b>arad2\𒀵
𒀸\<b>Transliteration: </b>a3sz3
𒀸\<b>Transliteration: </b>a3z3
𒀸\<b>Transliteration: </b>asz
𒀸\<b>Transliteration: </b>del
𒀸\<b>Transliteration: </b>didli
𒀸\<b>Transliteration: </b>dil
𒀸\<b>Transliteration: </b>dili
𒀸\<b>Transliteration: </b>ina
𒀸\<b>Transliteration: </b>ru
𒀸\<b>Transliteration: </b>ru3
𒀸\<b>Transliteration: </b>rum
𒀸\<b>Transliteration: </b>til4
<b>Transliteration: </b>a3sz3\𒀸
<b>Transliteration: </b>a3z3\𒀸
<b>Transliteration: </b>asz\𒀸
<b>Transliteration: </b>del\𒀸
<b>Transliteration: </b>didli\𒀸
<b>Transliteration: </b>dil\𒀸
<b>Transliteration: </b>dili\𒀸
<b>Transliteration: </b>ina\𒀸
<b>Transliteration: </b>ru\𒀸
<b>Transliteration: </b>ru3\𒀸
<b>Transliteration: </b>rum\𒀸
<b>Transliteration: </b>til4\𒀸
𒀹\<b>Transliteration: </b>ge23
𒀹\<b>Transliteration: </b>isz8
<b>Transliteration: </b>ge23\𒀹
<b>Transliteration: </b>isz8\𒀹
𒀼\<b>Transliteration: </b>esz16
<b>Transliteration: </b>esz16\𒀼
𒀽\<b>Transliteration: </b>szu2szur2
<b>Transliteration: </b>szu2szur2\𒀽
𒀾\<b>Transliteration: </b>a2sz2
𒀾\<b>Transliteration: </b>asz2
𒀾\<b>Transliteration: </b>gi2bil2
𒀾\<b>Transliteration: </b>ta3sz3
𒀾\<b>Transliteration: </b>ziz2
<b>Transliteration: </b>a2sz2\𒀾
<b>Transliteration: </b>asz2\𒀾
<b>Transliteration: </b>gi2bil2\𒀾
<b>Transliteration: </b>ta3sz3\𒀾
<b>Transliteration: </b>ziz2\𒀾
𒀿\<b>Transliteration: </b>aszgab
<b>Transliteration: </b>aszgab\𒀿
𒁀\<b>Transliteration: </b>ba
𒁀\<b>Transliteration: </b>be4
𒁀\<b>Transliteration: </b>pa2
<b>Transliteration: </b>ba\𒁀
<b>Transliteration: </b>be4\𒁀
<b>Transliteration: </b>pa2\𒁀
𒁁\<b>Transliteration: </b>ba9
𒁁\<b>Transliteration: </b>bad
𒁁\<b>Transliteration: </b>bat
𒁁\<b>Transliteration: </b>be
𒁁\<b>Transliteration: </b>bi2t2
𒁁\<b>Transliteration: </b>mid
𒁁\<b>Transliteration: </b>mit
𒁁\<b>Transliteration: </b>mit,
𒁁\<b>Transliteration: </b>pa2d2
𒁁\<b>Transliteration: </b>pa2t2
𒁁\<b>Transliteration: </b>pi2d2
𒁁\<b>Transliteration: </b>pi2t2
𒁁\<b>Transliteration: </b>tel
𒁁\<b>Transliteration: </b>til
𒁁\<b>Transliteration: </b>usz2
<b>Transliteration: </b>ba9\𒁁
<b>Transliteration: </b>bad\𒁁
<b>Transliteration: </b>bat\𒁁
<b>Transliteration: </b>be\𒁁
<b>Transliteration: </b>bi2t2\𒁁
<b>Transliteration: </b>mid\𒁁
<b>Transliteration: </b>mit\𒁁
<b>Transliteration: </b>mit,\𒁁
<b>Transliteration: </b>pa2d2\𒁁
<b>Transliteration: </b>pa2t2\𒁁
<b>Transliteration: </b>pi2d2\𒁁
<b>Transliteration: </b>pi2t2\𒁁
<b>Transliteration: </b>tel\𒁁
<b>Transliteration: </b>til\𒁁
<b>Transliteration: </b>usz2\𒁁
𒁄\<b>Transliteration: </b>bal
𒁄\<b>Transliteration: </b>pal
<b>Transliteration: </b>bal\𒁄
<b>Transliteration: </b>pal\𒁄
𒁇\<b>Transliteration: </b>bar
𒁇\<b>Transliteration: </b>pa2r2
𒁇\<b>Transliteration: </b>par2
<b>Transliteration: </b>bar\𒁇
<b>Transliteration: </b>pa2r2\𒁇
<b>Transliteration: </b>par2\𒁇
𒁈\<b>Transliteration: </b>ba2ra2
𒁈\<b>Transliteration: </b>barag
𒁈\<b>Transliteration: </b>szara
<b>Transliteration: </b>ba2ra2\𒁈
<b>Transliteration: </b>barag\𒁈
<b>Transliteration: </b>szara\𒁈
𒁉\<b>Transliteration: </b>be
𒁉\<b>Transliteration: </b>be2
𒁉\<b>Transliteration: </b>bi
𒁉\<b>Transliteration: </b>biz
𒁉\<b>Transliteration: </b>gasz
𒁉\<b>Transliteration: </b>kasz
𒁉\<b>Transliteration: </b>pe
𒁉\<b>Transliteration: </b>pe2
𒁉\<b>Transliteration: </b>pi
𒁉\<b>Transliteration: </b>pi2
<b>Transliteration: </b>be\𒁉
<b>Transliteration: </b>be2\𒁉
<b>Transliteration: </b>bi\𒁉
<b>Transliteration: </b>biz\𒁉
<b>Transliteration: </b>gasz\𒁉
<b>Transliteration: </b>kasz\𒁉
<b>Transliteration: </b>pe\𒁉
<b>Transliteration: </b>pe2\𒁉
<b>Transliteration: </b>pi\𒁉
<b>Transliteration: </b>pi2\𒁉
𒁍\<b>Transliteration: </b>bu
𒁍\<b>Transliteration: </b>bur12
𒁍\<b>Transliteration: </b>dur7
𒁍\<b>Transliteration: </b>gi2t2
𒁍\<b>Transliteration: </b>gid2
𒁍\<b>Transliteration: </b>kim3
𒁍\<b>Transliteration: </b>pu
𒁍\<b>Transliteration: </b>si2r2
𒁍\<b>Transliteration: </b>sir2
𒁍\<b>Transliteration: </b>su13
𒁍\<b>Transliteration: </b>sud4
𒁍\<b>Transliteration: </b>tur8
<b>Transliteration: </b>bu\𒁍
<b>Transliteration: </b>bur12\𒁍
<b>Transliteration: </b>dur7\𒁍
<b>Transliteration: </b>gi2t2\𒁍
<b>Transliteration: </b>gid2\𒁍
<b>Transliteration: </b>kim3\𒁍
<b>Transliteration: </b>pu\𒁍
<b>Transliteration: </b>si2r2\𒁍
<b>Transliteration: </b>sir2\𒁍
<b>Transliteration: </b>su13\𒁍
<b>Transliteration: </b>sud4\𒁍
<b>Transliteration: </b>tur8\𒁍
𒁎\<b>Transliteration: </b>sirsir
<b>Transliteration: </b>sirsir\𒁎
𒁑\<b>Transliteration: </b>bulug
<b>Transliteration: </b>bulug\𒁑
𒁓\<b>Transliteration: </b>bur
𒁓\<b>Transliteration: </b>pur
<b>Transliteration: </b>bur\𒁓
<b>Transliteration: </b>pur\𒁓
𒁔\<b>Transliteration: </b>bu2r2
𒁔\<b>Transliteration: </b>bu8
𒁔\<b>Transliteration: </b>bur2
𒁔\<b>Transliteration: </b>du9
𒁔\<b>Transliteration: </b>dun5
𒁔\<b>Transliteration: </b>sun5
𒁔\<b>Transliteration: </b>uszum
<b>Transliteration: </b>bu2r2\𒁔
<b>Transliteration: </b>bu8\𒁔
<b>Transliteration: </b>bur2\𒁔
<b>Transliteration: </b>du9\𒁔
<b>Transliteration: </b>dun5\𒁔
<b>Transliteration: </b>sun5\𒁔
<b>Transliteration: </b>uszum\𒁔
𒁕\<b>Transliteration: </b>da
𒁕\<b>Transliteration: </b>t,a
𒁕\<b>Transliteration: </b>ta
𒁕\<b>Transliteration: </b>ta2
<b>Transliteration: </b>da\𒁕
<b>Transliteration: </b>t,a\𒁕
<b>Transliteration: </b>ta\𒁕
<b>Transliteration: </b>ta2\𒁕
𒁖\<b>Transliteration: </b>barag2
𒁖\<b>Transliteration: </b>dag
𒁖\<b>Transliteration: </b>dak
𒁖\<b>Transliteration: </b>par3
𒁖\<b>Transliteration: </b>para3
𒁖\<b>Transliteration: </b>ta2g2
𒁖\<b>Transliteration: </b>ta2k2
𒁖\<b>Transliteration: </b>tag2
<b>Transliteration: </b>barag2\𒁖
<b>Transliteration: </b>dag\𒁖
<b>Transliteration: </b>dak\𒁖
<b>Transliteration: </b>par3\𒁖
<b>Transliteration: </b>para3\𒁖
<b>Transliteration: </b>ta2g2\𒁖
<b>Transliteration: </b>ta2k2\𒁖
<b>Transliteration: </b>tag2\𒁖
𒁛\<b>Transliteration: </b> 
𒁛\<b>Transliteration: </b>ubur
<b>Transliteration: </b> \𒁛
<b>Transliteration: </b>ubur\𒁛
𒁞\<b>Transliteration: </b>kiszi8
<b>Transliteration: </b>kiszi8\𒁞
𒁟\<b>Transliteration: </b>utul5
<b>Transliteration: </b>utul5\𒁟
𒁡\<b>Transliteration: </b>u3bur3
𒁡\<b>Transliteration: </b>ubur3
<b>Transliteration: </b>u3bur3\𒁡
<b>Transliteration: </b>ubur3\𒁡
𒁢\<b>Transliteration: </b>ubur4
<b>Transliteration: </b>ubur4\𒁢
𒁥\<b>Transliteration: </b>u2bur2
<b>Transliteration: </b>u2bur2\𒁥
𒁦\<b>Transliteration: </b>amasz
<b>Transliteration: </b>amasz\𒁦
𒁬\<b>Transliteration: </b>kiszi9
<b>Transliteration: </b>kiszi9\𒁬
𒁭\<b>Transliteration: </b>utua
<b>Transliteration: </b>utua\𒁭
𒁮\<b>Transliteration: </b>da4
𒁮\<b>Transliteration: </b>dam
𒁮\<b>Transliteration: </b>t,am
𒁮\<b>Transliteration: </b>ta2m2
𒁮\<b>Transliteration: </b>ta2mam2
𒁮\<b>Transliteration: </b>ta2mdam2
𒁮\<b>Transliteration: </b>ta4
𒁮\<b>Transliteration: </b>tam2
<b>Transliteration: </b>da4\𒁮
<b>Transliteration: </b>dam\𒁮
<b>Transliteration: </b>t,am\𒁮
<b>Transliteration: </b>ta2m2\𒁮
<b>Transliteration: </b>ta2mam2\𒁮
<b>Transliteration: </b>ta2mdam2\𒁮
<b>Transliteration: </b>ta4\𒁮
<b>Transliteration: </b>tam2\𒁮
𒁯\<b>Transliteration: </b>dar
𒁯\<b>Transliteration: </b>di2r2
𒁯\<b>Transliteration: </b>dir2
𒁯\<b>Transliteration: </b>gun3
𒁯\<b>Transliteration: </b>tar2
<b>Transliteration: </b>dar\𒁯
<b>Transliteration: </b>di2r2\𒁯
<b>Transliteration: </b>dir2\𒁯
<b>Transliteration: </b>gun3\𒁯
<b>Transliteration: </b>tar2\𒁯
𒁰\<b>Transliteration: </b>da3r3
𒁰\<b>Transliteration: </b>dar3
𒁰\<b>Transliteration: </b>dara3
𒁰\<b>Transliteration: </b>tarah
<b>Transliteration: </b>da3r3\𒁰
<b>Transliteration: </b>dar3\𒁰
<b>Transliteration: </b>dara3\𒁰
<b>Transliteration: </b>tarah\𒁰
𒁱\<b>Transliteration: </b>dara4
<b>Transliteration: </b>dara4\𒁱
𒁲\<b>Transliteration: </b>de
𒁲\<b>Transliteration: </b>di
𒁲\<b>Transliteration: </b>sa
𒁲\<b>Transliteration: </b>sa2
𒁲\<b>Transliteration: </b>silim
𒁲\<b>Transliteration: </b>t,e
𒁲\<b>Transliteration: </b>t,i
𒁲\<b>Transliteration: </b>ti
<b>Transliteration: </b>de\𒁲
<b>Transliteration: </b>di\𒁲
<b>Transliteration: </b>sa\𒁲
<b>Transliteration: </b>sa2\𒁲
<b>Transliteration: </b>silim\𒁲
<b>Transliteration: </b>t,e\𒁲
<b>Transliteration: </b>t,i\𒁲
<b>Transliteration: </b>ti\𒁲
𒁳\<b>Transliteration: </b>dab
𒁳\<b>Transliteration: </b>dap
𒁳\<b>Transliteration: </b>dib
𒁳\<b>Transliteration: </b>dip
𒁳\<b>Transliteration: </b>lu
𒁳\<b>Transliteration: </b>t,ib
𒁳\<b>Transliteration: </b>t,ip
𒁳\<b>Transliteration: </b>tib
𒁳\<b>Transliteration: </b>tip
<b>Transliteration: </b>dab\𒁳
<b>Transliteration: </b>dap\𒁳
<b>Transliteration: </b>dib\𒁳
<b>Transliteration: </b>dip\𒁳
<b>Transliteration: </b>lu\𒁳
<b>Transliteration: </b>t,ib\𒁳
<b>Transliteration: </b>t,ip\𒁳
<b>Transliteration: </b>tib\𒁳
<b>Transliteration: </b>tip\𒁳
𒁴\<b>Transliteration: </b>dim
𒁴\<b>Transliteration: </b>ga3kkul3
𒁴\<b>Transliteration: </b>t,im
𒁴\<b>Transliteration: </b>ti
𒁴\<b>Transliteration: </b>ti3
𒁴\<b>Transliteration: </b>tim
<b>Transliteration: </b>dim\𒁴
<b>Transliteration: </b>ga3kkul3\𒁴
<b>Transliteration: </b>t,im\𒁴
<b>Transliteration: </b>ti\𒁴
<b>Transliteration: </b>ti3\𒁴
<b>Transliteration: </b>tim\𒁴
𒁵\<b>Transliteration: </b>gakkul
𒁵\<b>Transliteration: </b>mun
<b>Transliteration: </b>gakkul\𒁵
<b>Transliteration: </b>mun\𒁵
𒁶\<b>Transliteration: </b>dim2
𒁶\<b>Transliteration: </b>ge18
𒁶\<b>Transliteration: </b>gen7
𒁶\<b>Transliteration: </b>gim
𒁶\<b>Transliteration: </b>gin7
𒁶\<b>Transliteration: </b>szidim
<b>Transliteration: </b>dim2\𒁶
<b>Transliteration: </b>ge18\𒁶
<b>Transliteration: </b>gen7\𒁶
<b>Transliteration: </b>gim\𒁶
<b>Transliteration: </b>gin7\𒁶
<b>Transliteration: </b>szidim\𒁶
𒁷\<b>Transliteration: </b>din
𒁷\<b>Transliteration: </b>kurun2
𒁷\<b>Transliteration: </b>ti2
𒁷\<b>Transliteration: </b>tin
𒁷\<b>Transliteration: </b>tine2n2
𒁷\<b>Transliteration: </b>tinte2n2
<b>Transliteration: </b>din\𒁷
<b>Transliteration: </b>kurun2\𒁷
<b>Transliteration: </b>ti2\𒁷
<b>Transliteration: </b>tin\𒁷
<b>Transliteration: </b>tine2n2\𒁷
<b>Transliteration: </b>tinte2n2\𒁷
𒁹\<b>Transliteration: </b>ana
𒁹\<b>Transliteration: </b>da2sz2
𒁹\<b>Transliteration: </b>disz
𒁹\<b>Transliteration: </b>esz4
𒁹\<b>Transliteration: </b>ge
𒁹\<b>Transliteration: </b>gesz2
𒁹\<b>Transliteration: </b>gi3
𒁹\<b>Transliteration: </b>gisz2
𒁹\<b>Transliteration: </b>nigida
𒁹\<b>Transliteration: </b>t,isz
𒁹\<b>Transliteration: </b>ta2sz2
𒁹\<b>Transliteration: </b>tisz
<b>Transliteration: </b>ana\𒁹
<b>Transliteration: </b>da2sz2\𒁹
<b>Transliteration: </b>disz\𒁹
<b>Transliteration: </b>esz4\𒁹
<b>Transliteration: </b>ge\𒁹
<b>Transliteration: </b>gesz2\𒁹
<b>Transliteration: </b>gi3\𒁹
<b>Transliteration: </b>gisz2\𒁹
<b>Transliteration: </b>nigida\𒁹
<b>Transliteration: </b>t,isz\𒁹
<b>Transliteration: </b>ta2sz2\𒁹
<b>Transliteration: </b>tisz\𒁹
𒁺\<b>Transliteration: </b>de6
𒁺\<b>Transliteration: </b>du
𒁺\<b>Transliteration: </b>gen
𒁺\<b>Transliteration: </b>gub
𒁺\<b>Transliteration: </b>gup
𒁺\<b>Transliteration: </b>im4
𒁺\<b>Transliteration: </b>kub
𒁺\<b>Transliteration: </b>kurx
𒁺\<b>Transliteration: </b>kux
𒁺\<b>Transliteration: </b>lah6
𒁺\<b>Transliteration: </b>qub
𒁺\<b>Transliteration: </b>qup
𒁺\<b>Transliteration: </b>ra
𒁺\<b>Transliteration: </b>ra2
𒁺\<b>Transliteration: </b>re6
𒁺\<b>Transliteration: </b>sza4
𒁺\<b>Transliteration: </b>t,u3
𒁺\<b>Transliteration: </b>tu
𒁺\<b>Transliteration: </b>tu3
𒁺\<b>Transliteration: </b>tum2
<b>Transliteration: </b>de6\𒁺
<b>Transliteration: </b>du\𒁺
<b>Transliteration: </b>gen\𒁺
<b>Transliteration: </b>gub\𒁺
<b>Transliteration: </b>gup\𒁺
<b>Transliteration: </b>im4\𒁺
<b>Transliteration: </b>kub\𒁺
<b>Transliteration: </b>kurx\𒁺
<b>Transliteration: </b>kux\𒁺
<b>Transliteration: </b>lah6\𒁺
<b>Transliteration: </b>qub\𒁺
<b>Transliteration: </b>qup\𒁺
<b>Transliteration: </b>ra\𒁺
<b>Transliteration: </b>ra2\𒁺
<b>Transliteration: </b>re6\𒁺
<b>Transliteration: </b>sza4\𒁺
<b>Transliteration: </b>t,u3\𒁺
<b>Transliteration: </b>tu\𒁺
<b>Transliteration: </b>tu3\𒁺
<b>Transliteration: </b>tum2\𒁺
𒁼\<b>Transliteration: </b>suhusz
<b>Transliteration: </b>suhusz\𒁼
𒁽\<b>Transliteration: </b>kasz4
<b>Transliteration: </b>kasz4\𒁽
𒁾\<b>Transliteration: </b>agrig
𒁾\<b>Transliteration: </b>dab4
𒁾\<b>Transliteration: </b>dub
𒁾\<b>Transliteration: </b>dup
𒁾\<b>Transliteration: </b>kiszib3
𒁾\<b>Transliteration: </b>t,up
𒁾\<b>Transliteration: </b>tub
𒁾\<b>Transliteration: </b>tup
𒁾\<b>Transliteration: </b>zamug
<b>Transliteration: </b>agrig\𒁾
<b>Transliteration: </b>dab4\𒁾
<b>Transliteration: </b>dub\𒁾
<b>Transliteration: </b>dup\𒁾
<b>Transliteration: </b>kiszib3\𒁾
<b>Transliteration: </b>t,up\𒁾
<b>Transliteration: </b>tub\𒁾
<b>Transliteration: </b>tup\𒁾
<b>Transliteration: </b>zamug\𒁾
𒂀\<b>Transliteration: </b>balag
𒂀\<b>Transliteration: </b>du2b2
𒂀\<b>Transliteration: </b>dub2
𒂀\<b>Transliteration: </b>tu2b2
𒂀\<b>Transliteration: </b>tub2
<b>Transliteration: </b>balag\𒂀
<b>Transliteration: </b>du2b2\𒂀
<b>Transliteration: </b>dub2\𒂀
<b>Transliteration: </b>tu2b2\𒂀
<b>Transliteration: </b>tub2\𒂀
𒂁\<b>Transliteration: </b>dug
𒂁\<b>Transliteration: </b>duk
𒂁\<b>Transliteration: </b>duq
𒂁\<b>Transliteration: </b>epir
𒂁\<b>Transliteration: </b>gurun7
𒂁\<b>Transliteration: </b>kurin
𒂁\<b>Transliteration: </b>kurun3
𒂁\<b>Transliteration: </b>lud
𒂁\<b>Transliteration: </b>lut
𒂁\<b>Transliteration: </b>lut,
𒂁\<b>Transliteration: </b>tu3g3
𒂁\<b>Transliteration: </b>tu3k3
𒂁\<b>Transliteration: </b>tu3q3
𒂁\<b>Transliteration: </b>tug3
𒂁\<b>Transliteration: </b>tuk3
𒂁\<b>Transliteration: </b>tuq3
<b>Transliteration: </b>dug\𒂁
<b>Transliteration: </b>duk\𒂁
<b>Transliteration: </b>duq\𒂁
<b>Transliteration: </b>epir\𒂁
<b>Transliteration: </b>gurun7\𒂁
<b>Transliteration: </b>kurin\𒂁
<b>Transliteration: </b>kurun3\𒂁
<b>Transliteration: </b>lud\𒂁
<b>Transliteration: </b>lut\𒂁
<b>Transliteration: </b>lut,\𒂁
<b>Transliteration: </b>tu3g3\𒂁
<b>Transliteration: </b>tu3k3\𒂁
<b>Transliteration: </b>tu3q3\𒂁
<b>Transliteration: </b>tug3\𒂁
<b>Transliteration: </b>tuk3\𒂁
<b>Transliteration: </b>tuq3\𒂁
𒂂\<b>Transliteration: </b>dugud
𒂂\<b>Transliteration: </b>gi25
<b>Transliteration: </b>dugud\𒂂
<b>Transliteration: </b>gi25\𒂂
𒂃\<b>Transliteration: </b>gab
<b>Transliteration: </b>gab\𒂃
𒂄\<b>Transliteration: </b>dun
𒂄\<b>Transliteration: </b>dur9
𒂄\<b>Transliteration: </b>sul
𒂄\<b>Transliteration: </b>szah2
